Athlete Name,Year,Event,Score,Created At,Updated At
"Tre' Simmons","2024-2025","2024 Kazumi open",15,"2025-08-31T02:33:06.353161+00:00","2025-08-31T02:33:06.353161+00:00"
"Tony Cabral","2024-2025","2025 Lepercq Memorial",55,"2025-08-31T02:33:06.150366+00:00","2025-08-31T02:33:06.150366+00:00"
"Tony Cabral","2024-2025","2025 Shiai",60,"2025-08-31T02:33:06.056799+00:00","2025-08-31T02:33:06.056799+00:00"
"Tony Cabral","2024-2025","2024 Kazumi open",75,"2025-08-31T02:33:05.950506+00:00","2025-08-31T02:33:05.950506+00:00"
"Tony Cabral","2024-2025","2024 Kata Classic",40,"2025-08-31T02:33:05.847115+00:00","2025-08-31T02:33:05.847115+00:00"
"Tobiah Goodchild","2024-2025","2025 Lepercq Memorial",10,"2025-08-31T02:33:05.548173+00:00","2025-08-31T02:33:05.548173+00:00"
"Tobiah Goodchild","2024-2025","2024 Kazumi open",30,"2025-08-31T02:33:05.446466+00:00","2025-08-31T02:33:05.446466+00:00"
"Tobiah Goodchild","2024-2025","2024 Kata Classic",30,"2025-08-31T02:33:05.343475+00:00","2025-08-31T02:33:05.343475+00:00"
"Talia Fox","2024-2025","2025 Lepercq Memorial",55,"2025-08-31T02:33:05.066416+00:00","2025-08-31T02:33:05.066416+00:00"
"Talia Fox","2024-2025","2025 Shiai",70,"2025-08-31T02:33:04.966043+00:00","2025-08-31T02:33:04.966043+00:00"
"Talia Fox","2024-2025","2024 Kazumi open",35,"2025-08-31T02:33:04.862247+00:00","2025-08-31T02:33:04.862247+00:00"
"Talia Fox","2024-2025","2024 Kata Classic",60,"2025-08-31T02:33:04.766537+00:00","2025-08-31T02:33:04.766537+00:00"
"Talaya Sousa","2024-2025","2025 Shiai",5,"2025-08-31T02:33:04.530569+00:00","2025-08-31T02:33:04.530569+00:00"
"Talaya Sousa","2024-2025","2024 Kazumi open",2,"2025-08-31T02:33:04.413437+00:00","2025-08-31T02:33:04.413437+00:00"
"Talaya Sousa","2024-2025","2024 Kata Classic",15,"2025-08-31T02:33:04.315762+00:00","2025-08-31T02:33:04.315762+00:00"
